Method,Precision,Recall,F1
Baseline,0.7966101694915254,0.6911764705882353,0.7401574803149606
Class Weight Balanced,0.7878787878787878,0.7647058823529411,0.7761194029850746
SMOTE,0.7936507936507936,0.7352941176470589,0.7633587786259542
