mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__max_features,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5247958183288575,0.0758380934357183,0.07234554290771485,0.01133714652861,,sqrt,100,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 100}",0.7339449541284404,0.6857142857142857,0.7478260869565218,0.7450980392156863,0.7931034482758621,0.7411373628581592,0.034305533793672904,17
0.8938144207000732,0.05825794814551278,0.10806665420532227,0.007475273816356987,,sqrt,200,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 200}",0.7289719626168224,0.6857142857142857,0.7433628318584071,0.7572815533980582,0.8035714285714286,0.7437804124318005,0.0383363692851384,15
1.4168248653411866,0.09074992950603555,0.15203914642333985,0.04206145576500772,,sqrt,300,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 300}",0.7289719626168224,0.7115384615384616,0.75,0.7572815533980582,0.8035714285714286,0.7502726812249542,0.031125602004899288,11
0.4811385154724121,0.06384984109823084,0.06926064491271973,0.012555964171668696,,log2,100,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__n_estimators': 100}",0.7339449541284404,0.6857142857142857,0.7478260869565218,0.7450980392156863,0.7931034482758621,0.7411373628581592,0.034305533793672904,17
0.8914092063903809,0.0620697495336944,0.09248652458190917,0.007294783766259753,,log2,200,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__n_estimators': 200}",0.7289719626168224,0.6857142857142857,0.7433628318584071,0.7572815533980582,0.8035714285714286,0.7437804124318005,0.0383363692851384,15
1.2632200717926025,0.05921462917673833,0.13364052772521973,0.018209704168508003,,log2,300,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__n_estimators': 300}",0.7289719626168224,0.7115384615384616,0.75,0.7572815533980582,0.8035714285714286,0.7502726812249542,0.031125602004899288,11
0.4795440673828125,0.025392336231267482,0.10881385803222657,0.03284984895563568,5,sqrt,100,"{'classifier__max_depth': 5, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 100}",0.7884615384615384,0.74,0.75,0.7083333333333334,0.7843137254901961,0.7542217194570136,0.02967732546267404,5
0.9416989803314209,0.07704926616405465,0.10409941673278808,0.016531603002450383,5,sqrt,200,"{'classifier__max_depth': 5, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 200}",0.7692307692307693,0.74,0.7692307692307693,0.7083333333333334,0.780952380952381,0.7535494505494506,0.026346965563918943,7
1.2701561450958252,0.08030497201327828,0.1279902458190918,0.015275286122102704,5,sqrt,300,"{'classifier__max_depth': 5, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 300}",0.7924528301886793,0.74,0.7692307692307693,0.7010309278350515,0.7924528301886793,0.7590334714886359,0.0348260249247046,1
0.4327733516693115,0.008594205816602113,0.062179040908813474,0.002356589410917448,5,log2,100,"{'classifier__max_depth': 5, 'classifier__max_features': 'log2', 'classifier__n_estimators': 100}",0.7884615384615384,0.74,0.75,0.7083333333333334,0.7843137254901961,0.7542217194570136,0.02967732546267404,5
0.8734262943267822,0.032181956029904056,0.12763314247131347,0.060187103220518304,5,log2,200,"{'classifier__max_depth': 5, 'classifier__max_features': 'log2', 'classifier__n_estimators': 200}",0.7692307692307693,0.74,0.7692307692307693,0.7083333333333334,0.780952380952381,0.7535494505494506,0.026346965563918943,7
1.3589584350585937,0.13164365794758662,0.155183744430542,0.035359848430717475,5,log2,300,"{'classifier__max_depth': 5, 'classifier__max_features': 'log2', 'classifier__n_estimators': 300}",0.7924528301886793,0.74,0.7692307692307693,0.7010309278350515,0.7924528301886793,0.7590334714886359,0.0348260249247046,1
0.4372664451599121,0.022661961374008704,0.06710262298583984,0.005203285036235187,10,sqrt,100,"{'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 100}",0.7428571428571429,0.7128712871287128,0.7747747747747747,0.74,0.7894736842105263,0.7519953777942314,0.027135273262771327,9
0.9805676460266113,0.05817754728907323,0.1568511962890625,0.03356763381449295,10,sqrt,200,"{'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 200}",0.75,0.7422680412371134,0.7368421052631579,0.7326732673267327,0.7894736842105263,0.7502514196075062,0.020449864211797737,13
1.2822924613952638,0.06852261329710166,0.13949055671691896,0.01540191463357996,10,sqrt,300,"{'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 300}",0.75,0.7346938775510204,0.7478260869565218,0.7254901960784313,0.8181818181818182,0.7552383957535584,0.03271479833604826,3
0.4858853340148926,0.04233322760284988,0.10087099075317382,0.048337088528525134,10,log2,100,"{'classifier__max_depth': 10, 'classifier__max_features': 'log2', 'classifier__n_estimators': 100}",0.7428571428571429,0.7128712871287128,0.7747747747747747,0.74,0.7894736842105263,0.7519953777942314,0.027135273262771327,9
0.9089658260345459,0.03442894202446482,0.17627530097961425,0.05686878219057059,10,log2,200,"{'classifier__max_depth': 10, 'classifier__max_features': 'log2', 'classifier__n_estimators': 200}",0.75,0.7422680412371134,0.7368421052631579,0.7326732673267327,0.7894736842105263,0.7502514196075062,0.020449864211797737,13
